Wall time,Step,Value
1734162372.0176115,0,25.0
1734162404.4950469,1,52.0
1734162441.5658948,2,38.0
1734162489.8066356,3,33.0
1734162503.9222932,4,32.0
1734162662.015897,5,46.0
1734162737.1222112,6,46.0
1734162745.322967,7,17.0
1734162785.1457345,8,46.0
1734162954.5645523,9,135.0
1734162995.0392601,10,21.0
1734163081.0506735,11,59.0
1734163117.1518536,12,38.0
1734163158.892058,13,53.0
1734163277.1327841,14,101.0
1734163283.214046,15,13.0
1734163361.1831055,16,64.0
1734163369.5147233,17,17.0
1734163440.0417805,18,82.0
1734163457.933779,19,15.0
1734163467.6602454,20,13.0
1734163486.008988,21,24.0
1734163531.9272556,22,28.0
1734163546.111798,23,16.0
1734163615.0562043,24,80.0
1734163680.7597775,25,54.0
1734163733.8220646,26,46.0
1734163809.8316324,27,36.0
1734163909.8694575,28,57.0
1734163964.2263854,29,31.0
1734164004.7677553,30,18.0
1734164018.7703426,31,13.0
1734164169.8889127,32,125.0
1734164262.5788455,33,71.0
1734164282.7521155,34,15.0
1734164286.2385244,35,13.0
1734164386.641729,36,102.0
1734164457.6764019,37,93.0
1734164476.1224015,38,26.0
1734164572.4477575,39,74.0
1734164599.9338315,40,17.0
1734164686.162152,41,65.0
1734164839.779246,42,64.0
1734164982.9347267,43,131.0
1734165188.7545226,44,91.0
1734165308.1420074,45,62.0
1734165358.1631165,46,60.0
1734165418.1482682,47,42.0
1734165539.1102734,48,63.0
1734165633.267165,49,42.0
1734165644.9347668,50,33.0
1734165716.2843635,51,53.0
1734165780.0343518,52,60.0
1734165848.0561533,53,64.0
1734165878.2274406,54,21.0
1734165949.3883054,55,69.0
1734166037.0623415,56,55.0
1734166076.2828724,57,31.0
1734166177.2648864,58,90.0
1734166196.1754277,59,27.0
1734166288.9050727,60,91.0
1734166326.467213,61,50.0
1734166376.3640747,62,52.0
1734166396.8552165,63,23.0
1734166431.7863328,64,65.0
1734166445.9589698,65,13.0
1734166512.479719,66,50.0
1734166572.2023864,67,67.0
1734166630.294343,68,35.0
1734166751.4778526,69,64.0
1734166757.22793,70,15.0
1734166792.1703336,71,59.0
1734166798.0929968,72,17.0
1734166885.850831,73,79.0
1734166938.590453,74,46.0
1734167073.9839685,75,89.0
1734167118.6347907,76,30.0
1734167193.2865992,77,110.0
1734167257.2774756,78,61.0
1734167396.174816,79,80.0
1734167399.224398,80,13.0
1734167520.6906137,81,98.0
1734167552.4323776,82,27.0
1734167604.355448,83,48.0
1734167676.849643,84,66.0
1734167688.6343386,85,13.0
1734167715.263919,86,18.0
1734167818.9450765,87,68.0
1734167852.460413,88,46.0
1734167886.5485058,89,26.0
1734167930.4908895,90,33.0
1734167956.2227914,91,45.0
1734168019.877272,92,69.0
1734168118.2111325,93,149.0
1734168158.7611244,94,19.0
1734168195.5978193,95,43.0
1734168229.208232,96,56.0
1734168266.8724062,97,33.0
1734168322.5490777,98,48.0
1734168405.6646562,99,48.0
1734168415.4895434,100,18.0
1734168472.1324625,101,53.0
1734168507.6953201,102,61.0
1734168519.333778,103,21.0
1734168589.6138842,104,53.0
1734168609.3346004,105,21.0
1734168680.9867823,106,52.0
1734168729.0516603,107,45.0
1734168782.4709318,108,50.0
1734168809.291002,109,19.0
1734168813.1764176,110,13.0
1734168839.9323173,111,48.0
1734168865.3011909,112,27.0
1734168883.832631,113,13.0
1734168988.284548,114,56.0
1734169024.2598815,115,29.0
1734169144.904614,116,53.0
1734169189.1620047,117,31.0
1734169252.9055927,118,40.0
1734169284.5712745,119,28.0
1734169305.74415,120,16.0
1734169429.1032383,121,93.0
1734169537.6593802,122,111.0
1734169574.7414072,123,46.0
1734169587.672443,124,13.0
1734169651.705604,125,60.0
1734169676.15159,126,15.0
1734169716.8258011,127,45.0
1734169731.9719527,128,28.0
1734169775.6682072,129,53.0
1734169824.4448864,130,63.0
1734169855.996303,131,24.0
1734169938.6670558,132,50.0
1734170008.503717,133,49.0
1734170090.273,134,104.0
1734170147.858356,135,54.0
1734170174.2612953,136,29.0
1734170190.594314,137,13.0
1734170217.485527,138,17.0
1734170245.7614098,139,47.0
1734170311.424126,140,46.0
1734170375.4530883,141,67.0
1734170415.892052,142,21.0
1734170452.4893382,143,43.0
1734170460.0605264,144,18.0
1734170481.09166,145,17.0
1734170544.7292025,146,103.0
1734170583.8412466,147,64.0
1734170687.6220794,148,74.0
1734170725.2468052,149,43.0
1734170763.0800292,150,61.0
1734170847.0715077,151,64.0
1734170882.331806,152,28.0
1734170952.2707744,153,53.0
1734170972.4013548,154,15.0
1734171039.355874,155,63.0
1734171066.8429668,156,15.0
1734171108.481905,157,25.0
1734171122.1336377,158,25.0
1734171162.9758716,159,21.0
1734171166.3258784,160,13.0
1734171262.1902711,161,83.0
1734171314.7173107,162,46.0
1734171333.1775236,163,15.0
1734171347.3102345,164,25.0
1734171426.5892649,165,51.0
1734171436.0382848,166,18.0
1734171479.7118897,167,56.0
1734171548.338448,168,82.0
1734171626.5642564,169,66.0
1734171658.6081614,170,21.0
1734171681.5105247,171,15.0
1734171708.8207219,172,17.0
1734171745.7371416,173,21.0
1734171751.4056892,174,13.0
1734171874.2252033,175,66.0
1734171888.906336,176,32.0
1734171961.6966481,177,39.0
1734171993.3886397,178,21.0
1734172069.7305357,179,79.0
1734172114.1438718,180,56.0
1734172125.37252,181,25.0
1734172132.817873,182,18.0
1734172208.1466494,183,86.0
1734172373.593595,184,131.0
1734172390.161037,185,31.0
1734172452.3365295,186,41.0
1734172534.420986,187,63.0
1734172543.5205884,188,18.0
1734172554.354986,189,20.0
1734172581.239852,190,17.0
1734172644.8624837,191,72.0
1734172679.0197313,192,26.0
1734172726.1556768,193,53.0
1734172782.1589396,194,62.0
1734172822.6803806,195,26.0
1734172831.2356963,196,15.0
1734172850.1136856,197,27.0
1734172983.7273934,198,128.0
1734172983.7273934,199,128.0
