Wall time,Step,Value
1734100968.702816,0,25.0
1734101051.6844864,1,47.0
1734101129.0902736,2,43.0
1734101180.1752412,3,27.0
1734101191.803098,4,31.0
1734101423.806705,5,52.0
1734101521.8892052,6,40.0
1734101542.7328067,7,22.0
1734101572.9632642,8,47.0
1734101947.8246272,9,126.0
1734101959.9421978,10,19.0
1734102052.1413713,11,53.0
1734102121.2926688,12,46.0
1734102201.1139743,13,57.0
1734102564.6620848,14,136.0
1734102578.6731515,15,13.0
1734102713.506092,16,66.0
1734102733.0884042,17,17.0
1734102797.5308385,18,74.0
1734102814.0027168,19,15.0
1734102832.3473694,20,13.0
1734102839.746755,21,21.0
1734102877.9640806,22,28.0
1734102898.18893,23,21.0
1734103003.0328615,24,62.0
1734103035.8052335,25,81.0
1734103070.5839517,26,44.0
1734103141.1360931,27,62.0
1734103202.762453,28,64.0
1734103249.600038,29,39.0
1734103290.6688843,30,18.0
1734103294.5950203,31,13.0
1734103455.434317,32,124.0
1734103527.801673,33,70.0
1734103546.0097883,34,15.0
1734103549.5648053,35,13.0
1734103641.2154944,36,99.0
1734103744.8508997,37,113.0
1734103761.9097822,38,27.0
1734103993.9271512,39,77.0
1734104010.6651366,40,17.0
1734104104.0653737,41,51.0
1734104235.8124568,42,56.0
1734104285.863435,43,76.0
1734104309.3819246,44,36.0
1734104394.8634133,45,45.0
1734104505.5690887,46,117.0
1734104528.7301676,47,31.0
1734104546.2927957,48,17.0
1734104618.748427,49,108.0
1734104659.9082637,50,21.0
1734104762.1657894,51,46.0
1734104772.3155122,52,33.0
1734104872.03325,53,55.0
1734104915.380978,54,61.0
1734105017.6349359,55,57.0
1734105060.324224,56,21.0
1734105115.8835282,57,64.0
1734105233.2263944,58,45.0
1734105273.4081917,59,24.0
1734105339.2287076,60,95.0
1734105356.455395,61,26.0
1734105448.0324693,62,93.0
1734105521.1470144,63,50.0
1734105619.2573402,64,57.0
1734105664.0709405,65,29.0
1734105716.5006819,66,67.0
1734105720.343834,67,13.0
1734105805.9912663,68,45.0
1734105849.3700578,69,66.0
1734105889.5782347,70,39.0
1734105932.5291154,71,65.0
1734105939.4586043,72,15.0
1734106021.10802,73,55.0
1734106037.8703806,74,17.0
1734106150.0727491,75,104.0
1734106183.81347,76,51.0
1734106326.4532254,77,74.0
1734106339.4956644,78,34.0
1734106519.5672586,79,103.0
1734106609.252347,80,57.0
1734106762.7953262,81,72.0
1734106766.4204268,82,13.0
1734106890.766433,83,96.0
1734106926.3994257,84,26.0
1734107011.6569319,85,48.0
1734107042.929895,86,76.0
1734107057.0078027,87,13.0
1734107074.2022612,88,15.0
1734107253.2953537,89,81.0
1734107302.670924,90,42.0
1734107327.0735755,91,21.0
1734107358.8459802,92,38.0
1734107398.5223362,93,44.0
1734107503.7743676,94,68.0
1734107851.6413665,95,149.0
1734107859.8400643,96,26.0
1734107931.5803225,97,43.0
1734108035.5374146,98,51.0
1734108070.8514283,99,37.0
1734108155.8976955,100,48.0
1734108202.9267707,101,60.0
1734108220.9375079,102,18.0
1734108287.7849944,103,64.0
1734108370.420858,104,56.0
1734108377.0820131,105,17.0
1734108447.2078311,106,50.0
1734108462.0423958,107,21.0
1734108499.8394394,108,49.0
1734108569.061436,109,37.0
1734108644.6151135,110,53.0
1734108671.620538,111,19.0
1734108685.5985332,112,13.0
1734108769.239828,113,48.0
1734108786.023828,114,25.0
1734108794.3599844,115,13.0
1734108876.2584357,116,66.0
1734108917.0882585,117,29.0
1734109020.2330065,118,65.0
1734109043.4381995,119,31.0
1734109072.072004,120,46.0
1734109093.9795797,121,28.0
1734109111.5228329,122,16.0
1734109242.2137113,123,105.0
1734109365.3086529,124,101.0
1734109437.9326308,125,43.0
1734109448.3915954,126,13.0
1734109522.0999286,127,58.0
1734109549.00159,128,15.0
1734109621.828459,129,50.0
1734109633.088224,130,35.0
1734109693.9269595,131,47.0
1734109739.3240123,132,70.0
1734109748.9420245,133,22.0
1734109831.7353516,134,48.0
1734109873.570404,135,54.0
1734109914.04044,136,103.0
1734109987.481407,137,50.0
1734110030.5654624,138,23.0
1734110046.792347,139,13.0
1734110063.2525709,140,17.0
1734110098.8020265,141,38.0
1734110149.2884932,142,43.0
1734110200.9236617,143,55.0
1734110231.718737,144,20.0
1734110299.099021,145,43.0
1734110314.805922,146,18.0
1734110331.9312053,147,16.0
1734110463.8301003,148,90.0
1734110546.2520628,149,55.0
1734110677.938888,150,70.0
1734110749.531807,151,46.0
1734110828.2922566,152,66.0
1734110962.77538,153,59.0
1734110986.2988603,154,29.0
1734111048.7462745,155,53.0
1734111067.351254,156,15.0
1734111166.002629,157,63.0
1734111176.1018162,158,24.0
1734111204.362226,159,25.0
1734111228.9709327,160,25.0
1734111280.1742082,161,21.0
1734111283.9563894,162,13.0
1734111386.9319198,163,88.0
1734111414.1540587,164,15.0
1734111441.366765,165,26.0
1734111541.8416402,166,55.0
1734111559.8904026,167,18.0
1734111639.7641544,168,52.0
1734111772.4977686,169,81.0
1734111878.2397628,170,64.0
1734111900.8066094,171,23.0
1734111921.3135037,172,15.0
1734111937.7717764,173,17.0
1734111969.28386,174,28.0
1734111975.1032717,175,13.0
1734112101.6902857,176,54.0
1734112112.499757,177,27.0
1734112174.233571,178,39.0
1734112215.0464303,179,19.0
1734112264.8396926,180,61.0
1734112333.6883895,181,56.0
1734112373.9795587,182,27.0
1734112389.61162,183,18.0
1734112422.340678,184,47.0
1734112613.6429052,185,127.0
1734112626.7914941,186,28.0
1734112660.0628066,187,42.0
1734112709.4837534,188,57.0
1734112716.2263076,189,20.0
1734112744.8782377,190,20.0
1734112761.9295409,191,17.0
1734112800.408979,192,53.0
1734112826.9148946,193,27.0
1734112900.6276195,194,54.0
1734112999.585029,195,69.0
1734113039.9949758,196,26.0
1734113056.2784238,197,15.0
1734113074.7786913,198,27.0
1734113356.0108445,199,130.0
