Wall time,Step,Value
1734230256.023094,0,24.0
1734230289.7784846,1,49.0
1734230337.7315137,2,43.0
1734230388.09512,3,38.0
1734230400.856649,4,33.0
1734230494.5752082,5,48.0
1734230568.9491668,6,34.0
1734230577.544459,7,17.0
1734230616.1792161,8,41.0
1734230789.8299675,9,130.0
1734230830.2809112,10,18.0
1734230926.1300368,11,48.0
1734230973.1652076,12,41.0
1734231046.8547726,13,55.0
1734231224.0122802,14,118.0
1734231238.0440202,15,13.0
1734231330.121332,16,63.0
1734231338.5062304,17,17.0
1734231405.6026025,18,83.0
1734231432.779699,19,15.0
1734231451.3736358,20,13.0
1734231478.259379,21,21.0
1734231513.3076613,22,29.0
1734231528.2883725,23,21.0
1734231615.7035508,24,71.0
1734231663.37554,25,56.0
1734231725.754268,26,44.0
1734231782.083308,27,57.0
1734231892.9896727,28,85.0
1734231941.3817039,29,34.0
1734231981.8389769,30,19.0
1734231995.8337276,31,13.0
1734232121.8062346,32,123.0
1734232285.5895562,33,61.0
1734232306.9867456,34,15.0
1734232310.331448,35,13.0
1734232420.2907119,36,111.0
1734232543.5781589,37,103.0
1734232562.3667083,38,26.0
1734232650.997308,39,84.0
1734232666.2739234,40,17.0
1734232694.1330652,41,47.0
1734232774.3140237,42,51.0
1734232835.3696415,43,83.0
1734232880.5955458,44,35.0
1734232946.6466544,45,48.0
1734233019.5425289,46,119.0
1734233036.8636081,47,31.0
1734233058.2500932,48,17.0
1734233188.20146,49,119.0
1734233229.0359483,50,26.0
1734233326.6116736,51,46.0
1734233338.7160046,52,23.0
1734233399.90081,53,57.0
1734233448.5399876,54,63.0
1734233575.6333785,55,60.0
1734233609.079739,56,21.0
1734233683.9633641,57,77.0
1734233771.667109,58,48.0
1734233796.5694392,59,31.0
1734233893.919415,60,85.0
1734233913.2865286,61,27.0
1734233996.271884,62,104.0
1734234046.295128,63,50.0
1734234106.4133155,64,45.0
1734234142.6253793,65,19.0
1734234189.0157259,66,65.0
1734234203.014158,67,13.0
1734234240.995491,68,50.0
1734234321.2052698,69,68.0
1734234421.2571218,70,55.0
1734234519.7063174,71,76.0
1734234525.6612542,72,14.0
1734234574.757441,73,66.0
1734234580.7810035,74,22.0
1734234654.9314406,75,99.0
1734234719.0535872,76,43.0
1734234812.2189376,77,85.0
1734234841.2646482,78,35.0
1734235016.5010598,79,100.0
1734235094.4218643,80,57.0
1734235223.2027996,81,77.0
1734235226.2441587,82,13.0
1734235382.6650655,83,113.0
1734235417.3725166,84,28.0
1734235471.8299315,85,48.0
1734235534.679138,86,83.0
1734235539.837594,87,13.0
1734235548.430306,88,18.0
1734235656.634144,89,76.0
1734235713.5701509,90,47.0
1734235755.8719919,91,21.0
1734235801.9668744,92,30.0
1734235827.7516105,93,54.0
1734235873.8429656,94,65.0
1734236111.77646,95,129.0
1734236152.2466145,96,26.0
1734236225.1594574,97,46.0
1734236258.864344,98,46.0
1734236278.021341,99,30.0
1734236334.3739448,100,48.0
1734236395.131898,101,58.0
1734236404.8475585,102,18.0
1734236470.053675,103,75.0
1734236541.5968428,104,57.0
1734236558.7760494,105,17.0
1734236625.9829235,106,62.0
1734236647.3300767,107,21.0
1734236757.1576364,108,52.0
1734236818.8539236,109,40.0
1734236873.5375004,110,53.0
1734236892.0556815,111,19.0
1734236895.9735057,112,13.0
1734236979.1793194,113,48.0
1734236989.6068056,114,25.0
1734237008.1654973,115,13.0
1734237114.0683913,116,77.0
1734237158.999322,117,29.0
1734237288.8949378,118,61.0
1734237310.088063,119,25.0
1734237374.4529166,120,45.0
1734237400.2532635,121,33.0
1734237421.4130342,122,17.0
1734237512.054918,123,104.0
1734237613.7150743,124,112.0
1734237649.9631987,125,46.0
1734237670.7018673,126,13.0
1734237708.5606208,127,57.0
1734237726.2161427,128,15.0
1734237778.411459,129,52.0
1734237800.4442627,130,33.0
1734237875.7905984,131,58.0
1734237915.403625,132,64.0
1734237947.3072388,133,22.0
1734237992.2148142,134,44.0
1734238059.3837984,135,52.0
1734238178.5963187,136,92.0
1734238226.3510275,137,45.0
1734238254.7228878,138,33.0
1734238261.5912683,139,13.0
1734238288.427304,140,17.0
1734238315.7474127,141,57.0
1734238401.024684,142,35.0
1734238460.7276475,143,62.0
1734238492.2534328,144,21.0
1734238529.317299,145,38.0
1734238546.4640727,146,18.0
1734238568.1839852,147,17.0
1734238646.1455631,148,94.0
1734238691.1755009,149,50.0
1734238811.6234756,150,72.0
1734238848.1666481,151,41.0
1734238916.8798869,152,64.0
1734239003.3667026,153,58.0
1734239046.1115837,154,28.0
1734239088.1871288,155,52.0
1734239108.6621923,156,15.0
1734239197.1444404,157,58.0
1734239217.6386368,158,24.0
1734239241.5329874,159,30.0
1734239255.260478,160,25.0
1734239300.0195382,161,21.0
1734239303.3354182,162,13.0
1734239402.8214772,163,89.0
1734239456.30743,164,37.0
1734239474.8648148,165,24.0
1734239507.7154212,166,30.0
1734239544.9661086,167,67.0
1734239563.0034487,168,18.0
1734239594.3336759,169,51.0
1734239682.4289305,170,88.0
1734239750.7561972,171,59.0
1734239771.0847197,172,26.0
1734239793.8155894,173,15.0
1734239820.8916945,174,17.0
1734239876.6456878,175,30.0
1734239882.2042022,176,13.0
1734239949.4033902,177,72.0
1734239963.7525373,178,32.0
1734240015.5498614,179,59.0
1734240056.4785035,180,31.0
1734240128.2585495,181,75.0
1734240165.8016706,182,61.0
1734240176.423686,183,27.0
1734240192.738424,184,18.0
1734240233.3158507,185,65.0
1734240355.6359482,186,123.0
1734240372.0181026,187,37.0
1734240412.384747,188,50.0
1734240468.8862026,189,52.0
1734240495.7007935,190,20.0
1734240506.4819934,191,20.0
1734240533.4080448,192,17.0
1734240578.758932,193,80.0
1734240604.8445249,194,33.0
1734240643.5708961,195,51.0
1734240698.6999269,196,70.0
1734240718.215704,197,21.0
1734240736.4438155,198,15.0
1734240755.6010077,199,27.0
