Wall time,Step,Value
1734352092.8790982,0,28.0
1734352168.391451,1,54.0
1734352240.6357086,2,41.0
1734352289.7928343,3,31.0
1734352300.4554539,4,39.0
1734352344.5786762,5,33.0
1734352405.7743292,6,45.0
1734352424.8826504,7,14.0
1734352454.2402356,8,44.0
1734352838.3553593,9,153.0
1734352869.1253443,10,17.0
1734352945.6830573,11,50.0
1734353013.3785481,12,44.0
1734353086.7746944,13,33.0
1734353291.8812768,14,97.0
1734353306.0123184,15,13.0
1734353422.3384178,16,60.0
1734353434.1587992,17,14.0
1734353492.7024937,18,80.0
1734353508.5823116,19,25.0
1734353527.1959057,20,13.0
1734353534.0460181,21,15.0
1734353570.7352166,22,27.0
1734353585.4111137,23,28.0
1734353636.7188318,24,36.0
1734353667.9484015,25,45.0
1734353710.243436,26,37.0
1734353792.1080043,27,32.0
1734353851.5349543,28,56.0
1734353899.0572767,29,33.0
1734353939.7325604,30,27.0
1734353943.6165442,31,13.0
1734354085.414505,32,65.0
1734354155.3051093,33,92.0
1734354173.9213104,34,15.0
1734354177.5569365,35,13.0
1734354290.9446082,36,96.0
1734354397.7853506,37,127.0
1734354414.412054,38,27.0
1734354636.8223698,39,85.0
1734354653.3133864,40,18.0
1734354754.7612352,41,46.0
1734354798.3952985,42,42.0
1734354841.517427,43,53.0
1734354863.3414092,44,23.0
1734354947.7111638,45,50.0
1734355199.1738312,46,119.0
1734355221.578752,47,27.0
1734355238.4856234,48,17.0
1734355330.8015223,49,93.0
1734355370.9624546,50,22.0
1734355410.6329792,51,42.0
1734355441.577372,52,18.0
1734355488.6228893,53,52.0
1734355537.6117156,54,54.0
1734355638.4521134,55,70.0
1734355671.9832263,56,16.0
1734355733.7020574,57,60.0
1734355849.1990426,58,43.0
1734355888.9627678,59,31.0
1734355974.0119357,60,92.0
1734355990.5815861,61,21.0
1734356082.2024806,62,61.0
1734356159.577351,63,43.0
1734356255.9043062,64,56.0
1734356300.3033557,65,28.0
1734356332.437273,66,38.0
