Wall time,Step,Value
1734199039.0294046,0,26.0
1734199081.156574,1,49.0
1734199118.1037014,2,38.0
1734199154.1690092,3,36.0
1734199169.0887036,4,45.0
1734199355.1922824,5,40.0
1734199431.1955643,6,46.0
1734199440.5984414,7,22.0
1734199482.5723991,8,49.0
1734199631.560009,9,136.0
1734199671.8621652,10,20.0
1734199721.8163757,11,52.0
1734199751.4648736,12,46.0
1734199801.9177108,13,52.0
1734199930.2213686,14,98.0
1734199944.4275343,15,13.0
1734200010.65875,16,59.0
1734200020.0050175,17,15.0
1734200070.1318324,18,80.0
1734200087.4624236,19,15.0
1734200095.6101632,20,13.0
1734200108.481685,21,24.0
1734200145.3356607,22,28.0
1734200175.6366284,23,23.0
1734200263.9627047,24,80.0
1734200317.1992545,25,53.0
1734200394.3868322,26,38.0
1734200460.0825443,27,44.0
1734200526.849531,28,52.0
1734200576.9031332,29,35.0
1734200617.3872578,30,16.0
1734200631.5585086,31,13.0
1734200772.573233,32,115.0
1734200837.4477193,33,70.0
1734200861.1476243,34,15.0
1734200864.7095928,35,13.0
1734201011.5992565,36,101.0
1734201066.2902942,37,90.0
1734201084.8155653,38,26.0
1734201195.8487554,39,105.0
1734201207.3723152,40,17.0
1734201330.0125,41,82.0
1734201493.1856833,42,55.0
1734201573.165205,43,79.0
1734201605.5788364,44,33.0
1734201682.3381202,45,48.0
1734201859.050971,46,130.0
1734201894.975512,47,24.0
1734201915.3090599,48,17.0
1734201996.889253,49,113.0
1734202030.3663275,50,31.0
1734202121.9801047,51,46.0
1734202161.7721088,52,28.0
1734202213.5329394,53,57.0
1734202293.9582226,54,67.0
1734202325.7245452,55,58.0
1734202368.3323798,56,26.0
1734202479.4192135,57,69.0
1734202583.7805831,58,53.0
1734202624.2680082,59,31.0
1734202684.5760584,60,93.0
1734202703.3006115,61,27.0
1734202787.8298643,62,94.0
1734202814.8929145,63,50.0
1734202863.6368802,64,52.0
1734202897.9328516,65,33.0
1734202936.1100786,66,70.0
1734202950.4584076,67,13.0
1734202992.0967124,68,48.0
1734203069.0803947,69,72.0
1734203113.1908205,70,38.0
1734203171.4154487,71,85.0
1734203176.2725775,72,18.0
1734203219.3808358,73,56.0
1734203226.3365843,74,17.0
1734203309.6593907,75,104.0
1734203374.550498,76,37.0
1734203513.8748434,77,89.0
1734203548.907431,78,31.0
1734203629.759563,79,119.0
1734203731.6288667,80,64.0
1734203802.5753431,81,75.0
1734203809.3527153,82,13.0
1734203923.4360163,83,100.0
1734203952.2463093,84,26.0
1734203986.7208674,85,48.0
1734204039.3594737,86,67.0
1734204043.0649936,87,13.0
1734204059.7308779,88,15.0
1734204130.3169796,89,92.0
1734204196.6689024,90,49.0
1734204228.7663915,91,21.0
1734204273.7958634,92,30.0
1734204288.9170651,93,44.0
1734204409.0212355,94,57.0
1734204676.6190884,95,139.0
1734204684.7815008,96,26.0
1734204721.7193267,97,46.0
1734204776.9994862,98,58.0
1734204826.4630065,99,38.0
1734204893.385605,100,50.0
1734204951.9663303,101,56.0
1734204981.5145278,102,19.0
1734205051.2900531,103,71.0
1734205168.9423394,104,54.0
1734205187.12232,105,21.0
1734205258.9412432,106,49.0
1734205286.4327307,107,21.0
1734205339.361444,108,49.0
1734205398.7866142,109,47.0
1734205442.7139988,110,53.0
1734205469.9972787,111,19.0
1734205484.0892491,112,13.0
1734205521.405672,113,48.0
1734205543.1961095,114,27.0
1734205561.7177868,115,13.0
1734205647.1737964,116,71.0
1734205696.2091348,117,39.0
1734205828.7911615,118,57.0
1734205842.3262472,119,30.0
1734205927.7505043,120,32.0
1734205981.7647285,121,21.0
1734205989.8393233,122,17.0
1734206072.3284636,123,93.0
1734206140.8182461,124,112.0
1734206189.3657107,125,46.0
1734206210.32368,126,13.0
1734206247.5112858,127,49.0
1734206264.273757,128,15.0
1734206303.9414473,129,54.0
1734206320.819538,130,37.0
1734206351.3790305,131,53.0
1734206398.5196888,132,70.0
1734206408.7959378,133,22.0
1734206450.2259388,134,49.0
1734206510.8433986,135,52.0
1734206574.389491,136,103.0
1734206660.5442004,137,50.0
1734206694.002301,138,19.0
1734206710.3268223,139,13.0
1734206717.5613256,140,17.0
1734206770.2672343,141,44.0
1734206854.0663846,142,35.0
1734206918.5324311,143,56.0
1734206947.558854,144,26.0
1734206973.2272975,145,43.0
1734206994.5371928,146,18.0
1734207025.2403958,147,17.0
1734207111.7609718,148,90.0
1734207158.9988139,149,57.0
1734207280.232872,150,64.0
1734207328.8630912,151,41.0
1734207422.341928,152,64.0
1734207508.43561,153,58.0
1734207544.840213,154,29.0
1734207591.265448,155,50.0
1734207611.011285,156,15.0
1734207661.0519128,157,63.0
1734207670.87717,158,24.0
1734207689.7670367,159,25.0
1734207706.1103306,160,30.0
1734207747.9156277,161,21.0
1734207753.743979,162,13.0
1734207873.0278609,163,90.0
1734207927.1507103,164,63.0
1734207935.3703763,165,15.0
1734207964.7608116,166,26.0
1734208030.1739051,167,53.0
1734208059.2813084,168,14.0
1734208105.9018264,169,51.0
1734208221.661142,170,91.0
1734208261.1009746,171,71.0
1734208282.1613944,172,19.0
1734208303.8295238,173,15.0
1734208311.7503521,174,17.0
1734208367.9817855,175,27.0
1734208373.5338604,176,13.0
1734208451.4148412,177,58.0
1734208469.160495,178,40.0
1734208499.1973073,179,34.0
1734208539.212121,180,19.0
1734208599.6505458,181,66.0
1734208654.2545426,182,61.0
1734208673.7034147,183,27.0
1734208700.8866053,184,18.0
1734208740.9530954,185,65.0
1734208936.873033,186,119.0
