Wall time,Step,Value
1734148122.0691612,0,27.0
1734148164.4488914,1,57.0
1734148191.514244,2,41.0
1734148228.7589576,3,45.0
1734148244.1342359,4,34.0
1734148339.1543667,5,57.0
1734148426.801962,6,57.0
1734148436.6057541,7,17.0
1734148490.7818508,8,41.0
1734148629.9482014,9,137.0
1734148650.9449265,10,21.0
1734148707.046054,11,61.0
1734148746.3613508,12,43.0
1734148793.1924665,13,49.0
1734148879.310056,14,109.0
1734148893.6744037,15,13.0
1734148972.9064336,16,63.0
1734148982.327139,17,17.0
1734149032.13931,18,78.0
1734149049.4909737,19,15.0
1734149057.6550508,20,13.0
1734149066.168253,21,24.0
1734149112.682879,22,29.0
1734149143.1613247,23,23.0
1734149258.7779922,24,66.0
1734149317.7341444,25,37.0
1734149380.8434246,26,41.0
1734149418.0112412,27,56.0
1734149506.019824,28,78.0
1734149563.0056303,29,32.0
1734149590.4674892,30,19.0
1734149604.5001333,31,13.0
1734149747.797655,32,127.0
1734149837.0326385,33,78.0
1734149857.1930225,34,15.0
1734149860.5577803,35,13.0
1734149957.0586545,36,90.0
1734150022.515949,37,105.0
1734150040.2874196,38,21.0
1734150165.535303,39,93.0
1734150172.9133487,40,22.0
1734150260.5654855,41,42.0
1734150382.28497,42,59.0
1734150443.528823,43,79.0
1734150458.1092708,44,31.0
1734150500.2273371,45,48.0
1734150654.3584874,46,114.0
1734150677.6107652,47,24.0
1734150718.6753352,48,17.0
1734150771.5742164,49,122.0
1734150812.2923582,50,21.0
1734151101.8067195,51,46.0
1734151113.1826675,52,28.0
1734151150.9849703,53,54.0
1734151217.0898256,54,62.0
1734151259.6724846,55,65.0
1734151290.9066584,56,18.0
1734151370.4226356,57,64.0
1734151480.8912654,58,62.0
1734151521.7568603,59,31.0
1734151603.2354558,60,89.0
1734151621.3388638,61,26.0
1734151697.7605548,62,101.0
1734151724.2358983,63,45.0
1734151762.3879552,64,52.0
1734151808.5234933,65,33.0
1734151849.2580116,66,70.0
1734151863.2843287,67,13.0
1734151907.752757,68,45.0
1734151975.1691196,69,76.0
1734152024.8932714,70,45.0
1734152062.2500706,71,72.0
1734152070.1675897,72,18.0
1734152125.8710964,73,60.0
1734152133.2625096,74,17.0
1734152205.9374537,75,103.0
1734152281.7727008,76,37.0
1734152414.260554,77,85.0
1734152442.86804,78,40.0
1734152513.0514293,79,114.0
1734152609.7926242,80,57.0
1734152682.6436293,81,84.0
1734152689.435629,82,13.0
1734152863.2600846,83,97.0
1734152891.169524,84,33.0
1734152925.7449439,85,50.0
1734152980.42323,86,69.0
1734152984.0537136,87,13.0
1734153031.780874,88,18.0
1734153105.2271228,89,69.0
1734153178.5295243,90,40.0
1734153209.458446,91,21.0
1734153255.2016273,92,32.0
1734153278.9607806,93,44.0
1734153350.9922466,94,64.0
1734153613.7045183,95,134.0
1734153622.2070177,96,26.0
1734153661.347328,97,43.0
1734153719.3576367,98,61.0
1734153769.5498939,99,31.0
1734153808.263956,100,48.0
1734153871.3194818,101,58.0
1734153893.1066015,102,18.0
1734153961.0943186,103,72.0
1734154066.5162153,104,57.0
1734154084.4140096,105,27.0
1734154150.22881,106,61.0
1734154190.5785975,107,30.0
1734154251.0828733,108,49.0
1734154328.8887815,109,46.0
1734154383.3357232,110,53.0
1734154390.176045,111,19.0
1734154404.2750313,112,13.0
1734154489.2171953,113,48.0
1734154537.0453312,114,26.0
1734154555.5818338,115,13.0
1734154652.3071492,116,61.0
1734154687.6671207,117,29.0
1734154829.8980165,118,70.0
1734154844.1661603,119,22.0
