Wall time,Step,Value
1734529139.3572533,86,98.0
1734529151.1594727,87,13.0
1734529167.4551253,88,18.0
1734529232.8568635,89,84.0
1734529312.5407305,90,42.0
1734529336.6652582,91,26.0
1734529383.168588,92,41.0
1734529424.3974636,93,44.0
1734529516.3538127,94,71.0
1734529697.4743187,95,131.0
1734529739.63482,96,26.0
1734529780.2546422,97,46.0
1734529845.1612651,98,56.0
1734529881.2561438,99,39.0
1734529952.9144595,100,48.0
1734530032.9353352,101,61.0
1734530043.1805406,102,19.0
1734530136.0234265,103,70.0
1734530177.2893546,104,59.0
1734530193.9575694,105,21.0
1734530272.3178923,106,43.0
1734530328.4895568,107,20.0
1734530382.3965652,108,55.0
1734530449.8411965,109,47.0
1734530508.8064384,110,53.0
1734530536.9350305,111,19.0
1734530540.8719404,112,13.0
1734530591.9847028,113,48.0
1734530620.6053545,114,25.0
1734530639.3168612,115,13.0
1734530753.3256345,116,65.0
1734530804.7962873,117,29.0
1734530931.7168493,118,62.0
1734530980.3956492,119,40.0
1734531048.0595875,120,37.0
1734531084.87157,121,33.0
1734531113.2747357,122,16.0
1734531224.9415164,123,95.0
1734531328.0894406,124,111.0
1734531380.1059616,125,46.0
1734531400.9733994,126,13.0
1734531443.083512,127,58.0
1734531468.722277,128,15.0
1734531545.7494192,129,54.0
1734531567.5435164,130,45.0
1734531611.4219012,131,50.0
1734531662.534357,132,52.0
1734531690.050599,133,22.0
1734531761.341014,134,62.0
1734531806.5664697,135,56.0
1734531927.26073,136,91.0
1734531989.2678554,137,48.0
1734532019.7844794,138,29.0
1734532036.226837,139,13.0
1734532064.3769305,140,17.0
1734532097.7857602,141,52.0
1734532189.4124465,142,44.0
1734532258.8608644,143,58.0
1734532286.50647,144,21.0
1734532326.300077,145,46.0
1734532345.3817766,146,18.0
1734532368.0021343,147,17.0
1734532449.6011674,148,90.0
1734532513.0556526,149,72.0
1734532650.540355,150,75.0
1734532690.554141,151,43.0
1734532731.9141052,152,64.0
1734532871.378658,153,72.0
1734532917.2507937,154,28.0
1734532968.0552475,155,52.0
1734532989.2253819,156,15.0
1734533074.0253837,157,64.0
1734533092.3957272,158,24.0
1734533135.6316786,159,25.0
1734533151.1545494,160,25.0
1734533203.5947366,161,21.0
1734533206.8769772,162,13.0
1734533313.9819584,163,76.0
1734533354.9280868,164,26.0
1734533374.1227994,165,24.0
1734533390.5333717,166,27.0
1734533456.3145788,167,56.0
1734533470.634415,168,18.0
1734533522.0370517,169,49.0
1734533632.4758773,170,72.0
1734533698.4700835,171,70.0
1734533740.8026729,172,21.0
1734533752.6416085,173,15.0
1734533768.6219559,174,17.0
1734533819.0443387,175,23.0
1734533824.740217,176,13.0
1734533928.4476306,177,67.0
1734533947.1997938,178,30.0
1734533980.2636688,179,53.0
1734534012.241018,180,19.0
1734534098.7983885,181,70.0
1734534137.6142335,182,66.0
1734534157.2996578,183,25.0
1734534165.2524395,184,18.0
1734534294.6143818,185,60.0
1734534457.1174574,186,128.0
1734534478.9594922,187,29.0
1734534545.29376,188,32.0
1734534639.665051,189,52.0
1734534649.3945603,190,20.0
1734534661.6188583,191,20.0
1734534675.7813933,192,22.0
1734534739.0288363,193,63.0
1734534778.4581988,194,27.0
1734534835.9897118,195,55.0
1734534898.79821,196,64.0
1734534934.1438954,197,21.0
1734534946.1827872,198,15.0
1734534997.3662572,199,27.0
