Wall time,Step,Value
1734448281.6943593,0,24.0
1734448315.5840528,1,59.0
1734448351.9072037,2,43.0
1734448393.388257,3,33.0
1734448429.226984,4,49.0
1734448497.6015275,5,32.0
1734448561.3869998,6,23.0
1734448569.6032004,7,15.0
1734448608.886742,8,36.0
1734448721.6382341,9,141.0
1734448753.1023371,10,19.0
1734448824.4414752,11,65.0
1734448861.0873475,12,40.0
1734448935.6288924,13,27.0
1734449039.7998722,14,87.0
1734449053.8423693,15,13.0
1734449164.3848054,16,57.0
1734449172.7055633,17,20.0
1734449244.4502563,18,76.0
1734449262.4860241,19,18.0
1734449272.2566302,20,13.0
1734449287.5187721,21,15.0
1734449322.3877323,22,25.0
1734449336.2565432,23,20.0
1734449383.6254458,24,47.0
1734449432.8810382,25,38.0
1734449483.270666,26,39.0
1734449528.8995297,27,32.0
1734449585.292723,28,55.0
1734449630.8819292,29,26.0
1734449661.3619726,30,25.0
1734449667.4924388,31,13.0
1734449817.5954523,32,64.0
1734449961.0227175,33,87.0
1734449981.3271058,34,20.0
1734449984.8014095,35,13.0
1734450107.071865,36,104.0
1734450166.9547615,37,92.0
1734450185.3965216,38,21.0
1734450327.4838727,39,79.0
1734450354.5294547,40,14.0
1734450476.5159204,41,47.0
1734450522.621321,42,39.0
1734450601.8263872,43,61.0
1734450624.4598126,44,40.0
1734450669.576395,45,52.0
1734450725.9006515,46,142.0
1734450743.6057749,47,24.0
1734450764.849331,48,16.0
1734450833.1336975,49,104.0
1734450863.597434,50,24.0
1734450904.949616,51,42.0
1734450915.9173443,52,18.0
1734450986.024963,53,40.0
1734451034.132708,54,61.0
1734451078.1167529,55,72.0
1734451111.3951483,56,17.0
1734451182.1990504,57,75.0
1734451250.6372604,58,47.0
1734451291.006481,59,31.0
1734451382.013092,60,103.0
1734451400.87842,61,25.0
1734451490.94246,62,70.0
1734451528.747701,63,50.0
1734451581.294966,64,47.0
1734451601.3039198,65,22.0
1734451699.2483706,66,47.0
1734451713.3188102,67,13.0
1734451810.0195997,68,51.0
1734451871.5762725,69,53.0
1734451926.291364,70,30.0
1734451969.4299264,71,39.0
1734451979.1118526,72,15.0
1734452033.482315,73,78.0
1734452039.5735795,74,14.0
1734452150.095015,75,72.0
1734452215.3449798,76,37.0
1734452271.5609672,77,61.0
1734452285.541344,78,35.0
1734452390.5740373,79,75.0
1734452445.7816548,80,66.0
1734452584.2669218,81,67.0
1734452587.4362872,82,13.0
1734452698.6433911,83,74.0
1734452747.0699775,84,20.0
1734452811.821514,85,48.0
1734452873.5953496,86,71.0
1734452878.8469558,87,13.0
1734452888.307089,88,15.0
1734452990.4380589,89,71.0
1734453024.5905287,90,38.0
1734453056.5105305,91,17.0
1734453133.219911,92,41.0
1734453158.4322317,93,33.0
1734453253.7012897,94,69.0
1734453369.6455712,95,161.0
1734453409.8284411,96,23.0
1734453447.005467,97,41.0
1734453480.2963169,98,62.0
1734453529.911367,99,39.0
1734453581.1483772,100,48.0
1734453649.8797457,101,63.0
1734453659.218187,102,18.0
1734453740.1455307,103,55.0
1734453792.7461085,104,60.0
1734453810.289689,105,22.0
1734453878.0022326,106,46.0
1734453892.6468132,107,21.0
1734453939.3136346,108,44.0
1734453997.435166,109,73.0
1734454051.469724,110,53.0
1734454078.6901643,111,15.0
1734454082.4794722,112,13.0
1734454153.8548052,113,52.0
1734454177.3370888,114,21.0
1734454196.0292675,115,13.0
1734454279.1381254,116,39.0
1734454309.2410216,117,43.0
1734454443.60613,118,49.0
1734454487.9176953,119,25.0
1734454538.4740644,120,25.0
1734454564.4518538,121,18.0
