Wall time,Step,Value
1734496157.3334944,0,24.0
1734496201.4654424,1,66.0
1734496237.2082593,2,45.0
1734496285.6280184,3,24.0
1734496299.424556,4,45.0
1734496354.9672008,5,32.0
1734496427.0676897,6,43.0
1734496435.2715771,7,14.0
1734496474.0600874,8,33.0
1734496576.5426419,9,155.0
1734496616.7753894,10,24.0
1734496701.3484397,11,54.0
1734496737.3946695,12,40.0
1734496797.1693294,13,27.0
1734496912.8685532,14,121.0
1734496927.069362,15,13.0
1734497016.520318,16,50.0
1734497024.81328,17,14.0
1734497098.2999973,18,81.0
1734497125.2196176,19,20.0
1734497135.0517597,20,13.0
1734497150.8330688,21,15.0
1734497184.9586644,22,31.0
1734497198.9157283,23,31.0
1734497245.2653446,24,50.0
1734497300.3278198,25,45.0
1734497363.3639867,26,35.0
1734497427.062227,27,25.0
1734497499.356857,28,57.0
1734497546.7292454,29,25.0
1734497577.0441232,30,27.0
1734497591.2253757,31,13.0
1734497748.1376784,32,108.0
1734497911.8470502,33,82.0
1734497922.3842375,34,20.0
1734497925.7758656,35,13.0
1734498027.4422143,36,99.0
1734498097.282749,37,109.0
1734498115.751483,38,27.0
1734498208.0660558,39,82.0
1734498219.4723442,40,22.0
1734498362.6313596,41,54.0
1734498418.0744736,42,35.0
1734498497.0446188,43,59.0
1734498541.1142375,44,23.0
1734498577.5369074,45,47.0
1734498650.7855735,46,149.0
1734498673.7522194,47,25.0
1734498694.7967212,48,17.0
1734498801.59587,49,92.0
1734498830.894281,50,19.0
1734498879.0389984,51,34.0
1734498889.8004055,52,24.0
1734498958.1796012,53,48.0
1734499003.5445611,54,50.0
1734499100.7298417,55,71.0
1734499132.6304436,56,16.0
1734499215.0872898,57,57.0
1734499312.5258949,58,50.0
1734499347.6830504,59,31.0
1734499474.969276,60,92.0
1734499493.5759869,61,21.0
1734499584.2536068,62,58.0
1734499647.2981284,63,42.0
1734499707.8407145,64,51.0
1734499727.755333,65,24.0
1734499799.8723495,66,47.0
1734499813.9423823,67,13.0
1734499881.9463952,68,52.0
1734499958.7235649,69,59.0
1734500004.2189505,70,26.0
1734500075.6314402,71,39.0
1734500082.1077476,72,15.0
1734500136.3239822,73,74.0
1734500142.6730611,74,14.0
1734500224.981882,75,72.0
1734500275.5355392,76,36.0
1734500402.5825806,77,72.0
1734500428.9797149,78,49.0
1734500535.0616233,79,97.0
1734500582.8549826,80,66.0
1734500678.6378088,81,79.0
1734500681.8436825,82,13.0
1734500766.2514987,83,71.0
1734500785.8735063,84,17.0
1734500838.268614,85,48.0
1734500922.1317947,86,79.0
1734500936.4366045,87,13.0
1734500944.4479105,88,15.0
1734501019.4187016,89,63.0
1734501071.1749108,90,30.0
1734501093.9028904,91,20.0
1734501126.1514647,92,38.0
1734501141.4055266,93,44.0
1734501192.6071255,94,66.0
1734501284.6161036,95,148.0
1734501301.0286055,96,23.0
1734501348.3067765,97,43.0
1734501388.5285451,98,73.0
1734501425.593877,99,37.0
1734501496.0840783,100,42.0
1734501577.2035692,101,49.0
1734501586.990627,102,15.0
1734501660.833002,103,51.0
1734501711.14056,104,62.0
1734501730.7127101,105,20.0
1734501804.3697112,106,41.0
1734501820.8886554,107,21.0
1734501914.0661604,108,47.0
1734501965.469362,109,64.0
1734502019.2214236,110,47.0
1734502046.2138822,111,18.0
1734502050.2784986,112,13.0
1734502088.8236918,113,45.0
1734502112.581215,114,28.0
1734502123.190827,115,13.0
1734502227.7084956,116,51.0
1734502255.9207885,117,29.0
1734502410.2479851,118,45.0
1734502430.8733323,119,27.0
1734502505.495245,120,38.0
1734502548.9378595,121,26.0
1734502569.919845,122,16.0
1734502686.19053,123,96.0
1734502821.7458513,124,133.0
1734502857.6801698,125,38.0
1734502878.5645669,126,13.0
1734502940.9311182,127,34.0
1734502958.7660944,128,14.0
1734502978.4414291,129,48.0
1734502994.632325,130,28.0
1734503056.816621,131,48.0
1734503148.7044692,132,45.0
1734503174.0602705,133,16.0
1734503221.4176726,134,35.0
1734503282.247503,135,53.0
1734503371.838531,136,133.0
1734503411.707054,137,47.0
1734503447.522628,138,34.0
1734503463.9437184,139,13.0
1734503491.325428,140,14.0
1734503562.38442,141,42.0
1734503660.9151006,142,40.0
1734503727.4648933,143,55.0
1734503773.7505262,144,16.0
1734503822.9837935,145,44.0
1734503830.4538581,146,15.0
1734503852.3863292,147,17.0
1734503954.0775,148,96.0
1734504037.6545649,149,61.0
1734504179.381639,150,79.0
1734504232.7562873,151,41.0
1734504344.9994035,152,71.0
1734504461.1182706,153,49.0
1734504495.2931025,154,26.0
1734504557.4909282,155,42.0
1734504578.3242867,156,15.0
1734504659.0879161,157,66.0
1734504677.262089,158,15.0
1734504709.441406,159,29.0
1734504726.3048415,160,25.0
1734504744.8483005,161,28.0
1734504759.0014083,162,13.0
1734504863.4730465,163,86.0
1734504910.3138754,164,28.0
1734504927.6904142,165,15.0
