Wall time,Step,Value
1733576588.331851,1,0.26899784803390503
1733577251.3752258,2,0.4148634970188141
1733577935.527371,3,0.5351253151893616
1733578596.515744,4,1.1161901950836182
1733579342.6688151,5,0.8059609532356262
1733579965.667234,6,1.1828339099884033
1733580773.5858593,7,0.8314682245254517
1733581344.2285626,8,1.1088142395019531
1733581976.936874,9,0.8183064460754395
1733582666.8801472,10,1.5970618724822998
1733583349.5525422,11,1.5287060737609863
1733584110.253927,12,1.949523687362671
1733584770.494939,13,1.6051002740859985
1733585330.0989296,14,2.205416679382324
1733585958.0810316,15,1.690276861190796
1733586655.1550295,16,2.54543399810791
1733587251.8633826,17,2.045985221862793
1733587888.2642963,18,1.9320147037506104
1733588502.7360673,19,2.0483317375183105
1733589609.6670742,20,2.967815399169922
1733590262.609959,21,2.6010754108428955
1733591032.0041943,22,2.0618622303009033
1733591758.8375754,23,2.6714463233947754
1733592376.244766,24,2.8533506393432617
1733592998.0588393,25,3.2474734783172607
1733593658.6150413,26,3.0943760871887207
1733594345.2933035,27,2.7566957473754883
1733595018.9322162,28,3.310016632080078
1733595675.782748,29,2.918567419052124
1733596205.7475133,30,4.201717853546143
1733596831.7794409,31,3.5742835998535156
1733597393.6470044,32,3.351773977279663
1733598047.551318,33,3.263171434402466
1733598782.0279398,34,3.9997200965881348
1733599556.9700272,35,4.580953598022461
1733600021.0001574,36,4.326694011688232
1733600601.0695186,37,3.945241689682007
1733601305.9604294,38,4.322691917419434
1733602165.5590901,39,4.586636543273926
1733602735.869691,40,4.356771469116211
1733603356.4920874,41,4.470160484313965
1733603961.5780506,42,5.001862525939941
1733604551.0555966,43,5.117641925811768
1733605190.3016655,44,4.6922760009765625
1733605845.0901034,45,5.4660325050354
1733606519.8808308,46,5.298110008239746
1733607152.0130014,47,5.476546764373779
1733607879.1763964,48,5.4757280349731445
1733608518.6522188,49,6.148575782775879
1733609131.0187411,50,5.323456764221191
1733609800.8193245,51,5.768721580505371
1733610462.1315367,52,5.451912879943848
1733611041.2937698,53,4.887920379638672
1733611779.082098,54,4.77508544921875
1733612463.8603818,55,5.773308753967285
1733613055.3838787,56,5.390585899353027
